study_accession	experiment_accession	experiment_title	sample_taxon_id	sample_scientific_name	experiment_library_strategy	experiment_library_source	experiment_library_selection	sample_accession	sample_alias	experiment_instrument_model	pool_member_spots	run_1_size	run_1_accession	run_1_total_spots	run_1_total_bases
SRP293323	SRX9535464	amplicon seq of 1/1000-3	64187	Xanthomonas oryzae pv. oryzae	AMPLICON	GENOMIC	PCR	SRS7741934	1/1000-3	Ion Torrent S5	664853	83043398	SRR13089657	664853	107547382
SRP293323	SRX9535463	amplicon seq of BJ-P1	64187	Xanthomonas oryzae pv. oryzae	AMPLICON	GENOMIC	PCR	SRS7741933	BJ-P1	Ion Torrent S5	1776214	220870003	SRR13089658	1776214	322965530
SRP293323	SRX9535462	amplicon seq of PXO86	64187	Xanthomonas oryzae pv. oryzae	AMPLICON	GENOMIC	PCR	SRS7741932	IRRI-P2	Ion Torrent S5	713923	87808242	SRR13089659	713923	113446850
SRP293323	SRX9535461	amplicon seq of PXO61	64187	Xanthomonas oryzae pv. oryzae	AMPLICON	GENOMIC	PCR	SRS7741931	IRRI-P1	Ion Torrent S5	1647644	204854948	SRR13089660	1647644	297065241
SRP272208	SRX8743520	GSM4673178: Control 120; Xanthomonas oryzae pv. oryzae; RNA-Seq	64187	Xanthomonas oryzae pv. oryzae	RNA-Seq	TRANSCRIPTOMIC	cDNA	SRS7015540	GSM4673178	Illumina Genome Analyzer IIx	32087948	1945162148	SRR12235060	32087948	6481765496
SRP272208	SRX8743519	GSM4673177: Control 90; Xanthomonas oryzae pv. oryzae; RNA-Seq	64187	Xanthomonas oryzae pv. oryzae	RNA-Seq	TRANSCRIPTOMIC	cDNA	SRS7015539	GSM4673177	Illumina Genome Analyzer IIx	32072266	1923001704	SRR12235059	32072266	6478597732
SRP272208	SRX8743518	GSM4673176: Control 0; Xanthomonas oryzae pv. oryzae; RNA-Seq	64187	Xanthomonas oryzae pv. oryzae	RNA-Seq	TRANSCRIPTOMIC	cDNA	SRS7015538	GSM4673176	Illumina Genome Analyzer IIx	37103350	2227870564	SRR12235058	37103350	7494876700
SRP272208	SRX8743517	GSM4673175: P-activated Xoo 120; Xanthomonas oryzae pv. oryzae; RNA-Seq	64187	Xanthomonas oryzae pv. oryzae	RNA-Seq	TRANSCRIPTOMIC	cDNA	SRS7015537	GSM4673175	Illumina Genome Analyzer IIx	30602226	1846999912	SRR12235057	30602226	6181649652
SRP272208	SRX8743516	GSM4673174: P-activated Xoo 90; Xanthomonas oryzae pv. oryzae; RNA-Seq	64187	Xanthomonas oryzae pv. oryzae	RNA-Seq	TRANSCRIPTOMIC	cDNA	SRS7015536	GSM4673174	Illumina Genome Analyzer IIx	38779025	2340166120	SRR12235056	38779025	7833363050
SRP272208	SRX8743515	GSM4673173: P-activated Xoo 0; Xanthomonas oryzae pv. oryzae; RNA-Seq	64187	Xanthomonas oryzae pv. oryzae	RNA-Seq	TRANSCRIPTOMIC	cDNA	SRS7015535	GSM4673173	Illumina Genome Analyzer IIx	28258205	1685982828	SRR12235055	28258205	5708157410
SRP219226	SRX6756906	Rna-seq of Xo0940: supplemented with leucine	360094	Xanthomonas oryzae pv. oryzae PXO99A	RNA-Seq	TRANSCRIPTOMIC	RANDOM	SRS5305852	Xoo-LEU	Illumina HiSeq 2000	9832425	1195977222	SRR10019382	9832425	2948618550
SRP210677	SRX6199241	Trace experiment for center JCVI, GENOMIC, species XANTHOMONAS ORYZAE PV. ORYZAE PX099A  1041058731236	360094	Xanthomonas oryzae pv. oryzae PXO99A	WGA	GENOMIC	unspecified	SRS5012904	JCVI XANTHOMONAS ORYZAE PV. ORYZAE PX099A 	AB 310 Genetic Analyzer	9435	333248279	SRR9433395	9435	9390027
SRP210677	SRX6199240	Trace experiment for center JCVI, GENOMIC, species XANTHOMONAS ORYZAE PV. ORYZAE PX099A  1041054961988	360094	Xanthomonas oryzae pv. oryzae PXO99A	WGA	GENOMIC	unspecified	SRS5012904	JCVI XANTHOMONAS ORYZAE PV. ORYZAE PX099A 	AB 310 Genetic Analyzer	52935	1919805511	SRR9433394	52935	53622429
SRP210677	SRX6199239	Trace experiment for center JCVI, GENOMIC, species XANTHOMONAS ORYZAE PV. ORYZAE PX099A  1101286213203	360094	Xanthomonas oryzae pv. oryzae PXO99A	FINISHING	GENOMIC	unspecified	SRS5012904	JCVI XANTHOMONAS ORYZAE PV. ORYZAE PX099A 	AB 310 Genetic Analyzer	2592	111739192	SRR9433393	2592	2817759
SRP210677	SRX6199238	Trace experiment for center JCVI, GENOMIC, species XANTHOMONAS ORYZAE PV. ORYZAE PX099A  1100077562586	360094	Xanthomonas oryzae pv. oryzae PXO99A	FINISHING	GENOMIC	unspecified	SRS5012904	JCVI XANTHOMONAS ORYZAE PV. ORYZAE PX099A 	AB 310 Genetic Analyzer	57	1591166	SRR9433392	57	52889
SRP210677	SRX6199237	Trace experiment for center JCVI, GENOMIC, species XANTHOMONAS ORYZAE PV. ORYZAE PX099A  1041058731236	360094	Xanthomonas oryzae pv. oryzae PXO99A	FINISHING	GENOMIC	unspecified	SRS5012904	JCVI XANTHOMONAS ORYZAE PV. ORYZAE PX099A 	AB 310 Genetic Analyzer	61	2055817	SRR9433391	61	64307
SRP210677	SRX6199236	Trace experiment for center JCVI, GENOMIC, species XANTHOMONAS ORYZAE PV. ORYZAE PX099A  1041054961988	360094	Xanthomonas oryzae pv. oryzae PXO99A	FINISHING	GENOMIC	unspecified	SRS5012904	JCVI XANTHOMONAS ORYZAE PV. ORYZAE PX099A 	AB 310 Genetic Analyzer	476	16573288	SRR9433390	476	505093
SRP190842	SRX5635863	Xanthomonas oryzae pv. oryzae NX0260	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	RANDOM	SRS4581632	NX0260	PacBio RS II	490446	18444980442	SRR8848096	490446	5289012649
SRP190842	SRX5635862	Xanthomonas oryzae pv. oryzae PXO364	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	RANDOM	SRS4581631	PXO364	PacBio RS II	326964	8339853909	SRR8848097	326964	2277624665
SRP190842	SRX5635861	Xanthomonas oryzae pv. oryzae CIAT	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	RANDOM	SRS4581630	CIAT	PacBio RS II	490446	27976571443	SRR8848098	490446	8110299390
SRP190842	SRX5635860	Xanthomonas oryzae pv. oryzae JW11089	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	RANDOM	SRS4581629	JW11089	PacBio RS II	490446	8939991540	SRR8848099	490446	2392435261
SRP190842	SRX5635859	Xanthomonas oryzae pv. oryzae PXO61	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	RANDOM	SRS4581628	PXO61	PacBio RS II	272470	6716563905	SRR8848100	272470	1839798163
SRP190842	SRX5635858	Xanthomonas oryzae pv. oryzae PXO404	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	RANDOM	SRS4581627	PXO404	PacBio RS II	326964	6638048270	SRR8848102	326964	1759618060
SRP190842	SRX5635857	Xanthomonas oryzae pv. oryzae PXO513	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	RANDOM	SRS4581626	PXO513	PacBio RS II	326964	4666436813	SRR8848101	326964	1218306611
SRP190842	SRX5635856	Xanthomonas oryzae pv. oryzae PXO421	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	RANDOM	SRS4581625	PXO421	PacBio RS II	326964	6292402874	SRR8848103	326964	1663529882
SRP190842	SRX5635855	Xanthomonas oryzae pv. oryzae KXO85	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	RANDOM	SRS4581624	KXO85	PacBio RS II	326964	4554775863	SRR8848104	326964	1146640319
SRP190842	SRX5635854	Xanthomonas oryzae pv. oryzae AUST2013	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	RANDOM	SRS4581623	AUST2013	PacBio RS II	163482	7104154305	SRR8848105	163482	1996400860
SRP189521	SRX5578819	Reads_CIX2374	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	unspecified	SRS4540512	XooCIX2374	PacBio RS II	163482	6741073645	SRR8789029	163482	1958984412
SRP189521	SRX5578818	Reads_CIX1041	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	unspecified	SRS4540511	XooCIX1041	PacBio RS II	163482	9824755376	SRR8789030	163482	2915962806
SRP189521	SRX5578817	Reads_CIX611	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	unspecified	SRS4540510	XooCIX611	PacBio RS II	163482	11768238594	SRR8789031	163482	3526071281
SRP189521	SRX5578816	Reads_CIX298	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	unspecified	SRS4540509	XooCIX298	PacBio RS II	163482	8094587978	SRR8789032	163482	2410266777
SRP189521	SRX5578815	Reads_CIX629	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	unspecified	SRS4540508	XooCIX629	PacBio RS II	163482	9511232153	SRR8789033	163482	2820187792
SRP187390	SRX5459336	WGS of Xanthomonas oryzae pv. oryzae PXO591: bacterial isolate	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	RANDOM	SRS4433233	Xanthomonas oryzae pv. oryzae PXO591	Ion Torrent PGM	1851421	242770930	SRR8662532	1851421	312199814
SRP187390	SRX5459335	WGS of Xanthomonas oryzae pv. oryzae PXO340: bacterial isolate	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	RANDOM	SRS4433232	Xanthomonas oryzae pv. oryzae PXO340	Ion Torrent PGM	2168255	288273370	SRR8662533	2168255	370566509
SRP187390	SRX5459334	WGS of Xanthomonas oryzae pv. oryzae PXO69: bacterial isolate	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	RANDOM	SRS4433231	Xanthomonas oryzae pv. oryzae PXO69	Ion Torrent PGM	2098653	279913714	SRR8662534	2098653	360058854
SRP187390	SRX5459333	WGS of Xanthomonas oryzae pv. oryzae PXO594: bacterial isolate	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	RANDOM	SRS4433230	Xanthomonas oryzae pv. oryzae PXO594	Ion Torrent PGM	2018163	265078588	SRR8662535	2018163	341929869
SRP187390	SRX5459332	WGS of Xanthomonas oryzae pv. oryzae PXO318: bacterial isolate	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	RANDOM	SRS4433229	Xanthomonas oryzae pv. oryzae PXO318	Ion Torrent PGM	1204893	158476679	SRR8662536	1204893	204084031
SRP187390	SRX5459331	WGS of Xanthomonas oryzae pv. oryzae PXO174: bacterial isolate	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	RANDOM	SRS4433228	Xanthomonas oryzae pv. oryzae PXO174	Ion Torrent PGM	1519511	202452533	SRR8662537	1519511	260248041
SRP187390	SRX5459330	WGS of Xanthomonas oryzae pv. oryzae PXO79: bacterial isolate	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	RANDOM	SRS4433227	Xanthomonas oryzae pv. oryzae PXO79	Ion Torrent PGM	2263699	301872631	SRR8662538	2263699	386734473
SRP187390	SRX5459329	WGS of Xanthomonas oryzae pv. oryzae PXO442: bacterial isolate	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	RANDOM	SRS4433226	Xanthomonas oryzae pv. oryzae PXO442	Ion Torrent PGM	1335543	179256706	SRR8662539	1335543	230202583
SRP187390	SRX5459328	WGS of Xanthomonas oryzae pv. oryzae PXO150: bacterial isolate	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	RANDOM	SRS4433225	Xanthomonas oryzae pv. oryzae PXO150	Ion Torrent PGM	1989822	263217528	SRR8662540	1989822	338288044
SRP187390	SRX5459327	WGS of Xanthomonas oryzae pv. oryzae PXO154: bacterial isolate	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	RANDOM	SRS4433224	Xanthomonas oryzae pv. oryzae PXO154	Ion Torrent PGM	1465348	182805146	SRR8662541	1465348	233166191
SRP187390	SRX5459326	WGS of Xanthomonas oryzae pv. oryzae PXO113: bacterial isolate	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	RANDOM	SRS4433223	Xanthomonas oryzae pv. oryzae PXO113	Ion Torrent PGM	2085788	274860066	SRR8662542	2085788	353409103
SRP187390	SRX5459325	WGS of Xanthomonas oryzae pv. oryzae PXO70: bacterial isolate	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	RANDOM	SRS4433222	Xanthomonas oryzae pv. oryzae PXO70	Ion Torrent PGM	2170105	284048569	SRR8662543	2170105	364914870
SRP187390	SRX5459324	WGS of Xanthomonas oryzae pv. oryzae PXO347: bacterial isolate	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	RANDOM	SRS4433221	Xanthomonas oryzae pv. oryzae PXO347	Ion Torrent PGM	2389172	298618343	SRR8662544	2389172	381670045
SRP187390	SRX5459323	WGS of Xanthomonas oryzae pv. oryzae PXO118: bacterial isolate	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	RANDOM	SRS4433220	Xanthomonas oryzae pv. oryzae PXO118	Ion Torrent PGM	1566984	200248751	SRR8662545	1566984	256187700
SRP187390	SRX5459322	WGS of Xanthomonas oryzae pv. oryzae PXO68: bacterial isolate	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	RANDOM	SRS4433219	Xanthomonas oryzae pv. oryzae PXO68	Ion Torrent PGM	2054747	273750775	SRR8662546	2054747	352173510
SRP187390	SRX5459321	WGS of Xanthomonas oryzae pv. oryzae PXO117: bacterial isolate	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	RANDOM	SRS4433218	Xanthomonas oryzae pv. oryzae PXO117	Ion Torrent PGM	1679683	214750042	SRR8662547	1679683	274698820
SRP187390	SRX5459320	WGS of Xanthomonas oryzae pv. oryzae PXO144: bacterial isolate	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	RANDOM	SRS4433217	Xanthomonas oryzae pv. oryzae PXO144	Ion Torrent PGM	1589938	203930272	SRR8662548	1589938	261158618
SRP187390	SRX5459319	WGS of Xanthomonas oryzae pv. oryzae PXO132: bacterial isolate	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	RANDOM	SRS4433216	Xanthomonas oryzae pv. oryzae PXO132	Ion Torrent PGM	2218905	295706579	SRR8662549	2218905	380804338
SRP187390	SRX5459318	WGS of Xanthomonas oryzae pv. oryzae PXO130: bacterial isolate	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	RANDOM	SRS4433215	Xanthomonas oryzae pv. oryzae PXO130	Ion Torrent PGM	1628658	206789991	SRR8662550	1628658	263962066
SRP187390	SRX5459317	WGS of Xanthomonas oryzae pv. oryzae PXO592: bacterial isolate	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	RANDOM	SRS4433214	Xanthomonas oryzae pv. oryzae PXO592	Ion Torrent PGM	1579564	201032080	SRR8662551	1579564	255594006
SRP187390	SRX5459316	WGS of Xanthomonas oryzae pv. oryzae PXO128: bacterial isolate	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	RANDOM	SRS4433213	Xanthomonas oryzae pv. oryzae PXO128	Ion Torrent PGM	1588500	197744818	SRR8662552	1588500	253475803
SRP187390	SRX5459315	WGS of Xanthomonas oryzae pv. oryzae PXO221: bacterial isolate	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	RANDOM	SRS4433212	Xanthomonas oryzae pv. oryzae PXO221	Ion Torrent PGM	2557085	338408788	SRR8662553	2557085	434961826
SRP187390	SRX5459314	WGS of Xanthomonas oryzae pv. oryzae PXO124: bacterial isolate	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	RANDOM	SRS4433211	Xanthomonas oryzae pv. oryzae PXO124	Ion Torrent PGM	1530782	192631452	SRR8662554	1530782	247311831
SRP187390	SRX5459313	WGS of Xanthomonas oryzae pv. oryzae PXO364: bacterial isolate	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	RANDOM	SRS4433210	Xanthomonas oryzae pv. oryzae PXO364	Ion Torrent PGM	1797429	226874684	SRR8662555	1797429	290923716
SRP187390	SRX5459312	WGS of Xanthomonas oryzae pv. oryzae PXO65: bacterial isolate	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	RANDOM	SRS4433209	Xanthomonas oryzae pv. oryzae PXO65	Ion Torrent PGM	1237396	156867580	SRR8662556	1237396	200849698
SRP187390	SRX5459311	WGS of Xanthomonas oryzae pv. oryzae PXO101: bacterial isolate	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	RANDOM	SRS4433208	Xanthomonas oryzae pv. oryzae PXO101	Ion Torrent PGM	2058456	253365196	SRR8662557	2058456	325795251
SRP187390	SRX5459310	WGS of Xanthomonas oryzae pv. oryzae PXO176: bacterial isolate	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	RANDOM	SRS4433207	Xanthomonas oryzae pv. oryzae PXO176	Ion Torrent PGM	1737345	222432762	SRR8662558	1737345	284985959
SRP187390	SRX5459309	WGS of Xanthomonas oryzae pv. oryzae PXO178: bacterial isolate	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	RANDOM	SRS4433206	Xanthomonas oryzae pv. oryzae PXO178	Ion Torrent PGM	1935600	246892619	SRR8662559	1935600	314944942
SRP187390	SRX5459308	WGS of Xanthomonas oryzae pv. oryzae PXO280: bacterial isolate	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	RANDOM	SRS4433205	Xanthomonas oryzae pv. oryzae PXO280	Ion Torrent PGM	1579369	198288308	SRR8662560	1579369	253241297
SRP187390	SRX5459307	WGS of Xanthomonas oryzae pv. oryzae PXO88: bacterial isolate	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	RANDOM	SRS4433204	Xanthomonas oryzae pv. oryzae PXO88	Ion Torrent PGM	1704178	216768307	SRR8662561	1704178	277242971
SRP187390	SRX5459306	WGS of Xanthomonas oryzae pv. oryzae PXO142: bacterial isolate	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	RANDOM	SRS4433203	Xanthomonas oryzae pv. oryzae PXO142	Ion Torrent PGM	1790154	222934074	SRR8662562	1790154	285620786
SRP187390	SRX5459305	WGS of Xanthomonas oryzae pv. oryzae PXO164: bacterial isolate	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	RANDOM	SRS4433202	Xanthomonas oryzae pv. oryzae PXO164	Ion Torrent PGM	1792453	228740546	SRR8662563	1792453	292214674
SRP187390	SRX5459304	WGS of Xanthomonas oryzae pv. oryzae PXO123: bacterial isolate	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	RANDOM	SRS4433201	Xanthomonas oryzae pv. oryzae PXO123	Ion Torrent PGM	1793586	231076997	SRR8662564	1793586	294962395
SRP187390	SRX5459303	WGS of Xanthomonas oryzae pv. oryzae PXO205: bacterial isolate	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	RANDOM	SRS4433200	Xanthomonas oryzae pv. oryzae PXO205	Ion Torrent PGM	1819863	229857252	SRR8662565	1819863	293648048
SRP187390	SRX5459302	WGS of Xanthomonas oryzae pv. oryzae PXO338: bacterial isolate	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	RANDOM	SRS4433199	Xanthomonas oryzae pv. oryzae PXO338	Ion Torrent PGM	1648388	204665955	SRR8662566	1648388	262120447
SRP187390	SRX5459301	WGS of Xanthomonas oryzae pv. oryzae PXO208: bacterial isolate	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	RANDOM	SRS4433198	Xanthomonas oryzae pv. oryzae PXO208	Ion Torrent PGM	1893031	239317863	SRR8662567	1893031	306084164
SRP187390	SRX5459300	WGS of Xanthomonas oryzae pv. oryzae PXO141: bacterial isolate	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	RANDOM	SRS4433197	Xanthomonas oryzae pv. oryzae PXO141	Ion Torrent PGM	2120300	280518766	SRR8662568	2120300	362194625
SRP187390	SRX5459299	WGS of Xanthomonas oryzae pv. oryzae PXO153: bacterial isolate	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	RANDOM	SRS4433196	Xanthomonas oryzae pv. oryzae PXO153	Ion Torrent PGM	1591409	208822645	SRR8662569	1591409	268954756
SRP187390	SRX5459298	WGS of Xanthomonas oryzae pv. oryzae PXO161: bacterial isolate	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	RANDOM	SRS4433195	Xanthomonas oryzae pv. oryzae PXO161	Ion Torrent PGM	1814487	244376017	SRR8662570	1814487	313692096
SRP187390	SRX5459297	WGS of Xanthomonas oryzae pv. oryzae PXO201: bacterial isolate	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	RANDOM	SRS4433194	Xanthomonas oryzae pv. oryzae PXO201	Ion Torrent PGM	2226596	295448515	SRR8662571	2226596	379705892
SRP187390	SRX5459296	WGS of Xanthomonas oryzae pv. oryzae PXO45: bacterial isolate	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	RANDOM	SRS4433193	Xanthomonas oryzae pv. oryzae PXO45	Ion Torrent PGM	1595541	214869604	SRR8662572	1595541	275733530
SRP187390	SRX5459295	WGS of Xanthomonas oryzae pv. oryzae PXO108: bacterial isolate	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	RANDOM	SRS4433192	Xanthomonas oryzae pv. oryzae PXO108	Ion Torrent PGM	2039990	272069467	SRR8662573	2039990	348758425
SRP187390	SRX5459294	WGS of Xanthomonas oryzae pv. oryzae PXO125: bacterial isolate	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	RANDOM	SRS4433191	Xanthomonas oryzae pv. oryzae PXO125	Ion Torrent PGM	2388965	317255857	SRR8662574	2388965	408343273
SRP187390	SRX5459293	WGS of Xanthomonas oryzae pv. oryzae PXO129: bacterial isolate	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	RANDOM	SRS4433190	Xanthomonas oryzae pv. oryzae PXO129	Ion Torrent PGM	1928821	254977950	SRR8662575	1928821	327890747
SRP187390	SRX5459292	WGS of Xanthomonas oryzae pv. oryzae PXO139: bacterial isolate	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	RANDOM	SRS4433189	Xanthomonas oryzae pv. oryzae PXO139	Ion Torrent PGM	1727839	231882039	SRR8662576	1727839	297603813
SRP187390	SRX5459291	WGS of Xanthomonas oryzae pv. oryzae PXO160: bacterial isolate	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	RANDOM	SRS4433188	Xanthomonas oryzae pv. oryzae PXO160	Ion Torrent PGM	2321080	303973509	SRR8662577	2321080	392304041
SRP187390	SRX5459290	WGS of Xanthomonas oryzae pv. oryzae PXO168: bacterial isolate	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	RANDOM	SRS4433187	Xanthomonas oryzae pv. oryzae PXO168	Ion Torrent PGM	2534526	336953378	SRR8662578	2534526	434238011
SRP187390	SRX5459289	WGS of Xanthomonas oryzae pv. oryzae PXO171: bacterial isolate	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	RANDOM	SRS4433186	Xanthomonas oryzae pv. oryzae PXO171	Ion Torrent PGM	2482150	329851287	SRR8662579	2482150	424560233
SRP187390	SRX5459288	WGS of Xanthomonas oryzae pv. oryzae PXO185: bacterial isolate	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	RANDOM	SRS4433185	Xanthomonas oryzae pv. oryzae PXO185	Ion Torrent PGM	2459637	329064977	SRR8662580	2459637	423667599
SRP187390	SRX5459287	WGS of Xanthomonas oryzae pv. oryzae PXO18: bacterial isolate	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	RANDOM	SRS4433184	Xanthomonas oryzae pv. oryzae PXO18	Ion Torrent PGM	2390325	317810720	SRR8662581	2390325	410398329
SRP187390	SRX5459286	WGS of Xanthomonas oryzae pv. oryzae PXO81: bacterial isolate	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	RANDOM	SRS4433183	Xanthomonas oryzae pv. oryzae PXO81	Ion Torrent PGM	2607155	343759158	SRR8662582	2607155	443596247
SRP187390	SRX5459285	WGS of Xanthomonas oryzae pv. oryzae PXO87: bacterial isolate	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	RANDOM	SRS4433182	Xanthomonas oryzae pv. oryzae PXO87	Ion Torrent PGM	2504751	334655590	SRR8662583	2504751	431099709
SRP187390	SRX5459284	WGS of Xanthomonas oryzae pv. oryzae PXO345: bacterial isolate	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	RANDOM	SRS4433181	Xanthomonas oryzae pv. oryzae PXO345	Ion Torrent PGM	1803415	228580829	SRR8662584	1803415	293147652
SRP187390	SRX5459283	WGS of Xanthomonas oryzae pv. oryzae PXO135: bacterial isolate	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	RANDOM	SRS4433180	Xanthomonas oryzae pv. oryzae PXO135	Ion Torrent PGM	1737063	236334912	SRR8662585	1737063	302949822
SRP187390	SRX5459282	WGS of Xanthomonas oryzae pv. oryzae PXO414: bacterial isolate	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	RANDOM	SRS4433179	Xanthomonas oryzae pv. oryzae PXO414	Ion Torrent PGM	1797511	228494052	SRR8662586	1797511	292210777
SRP187390	SRX5459281	WGS of Xanthomonas oryzae pv. oryzae PXO237: bacterial isolate	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	RANDOM	SRS4433178	Xanthomonas oryzae pv. oryzae PXO237	Ion Torrent PGM	1538019	207239088	SRR8662587	1538019	266041757
SRP187390	SRX5459280	WGS of Xanthomonas oryzae pv. oryzae PXO151: bacterial isolate	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	RANDOM	SRS4433177	Xanthomonas oryzae pv. oryzae PXO151	Ion Torrent PGM	2041452	272195285	SRR8662588	2041452	350392875
SRP187390	SRX5459279	WGS of Xanthomonas oryzae pv. oryzae PXO121: bacterial isolate	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	RANDOM	SRS4433176	Xanthomonas oryzae pv. oryzae PXO121	Ion Torrent PGM	1291860	164306534	SRR8662589	1291860	209688201
SRP187390	SRX5459278	WGS of Xanthomonas oryzae pv. oryzae PXO187: bacterial isolate	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	RANDOM	SRS4433175	Xanthomonas oryzae pv. oryzae PXO187	Ion Torrent PGM	2224338	298802818	SRR8662590	2224338	384111290
SRP187390	SRX5459277	WGS of Xanthomonas oryzae pv. oryzae PXO1: bacterial isolate	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	RANDOM	SRS4433174	Xanthomonas oryzae pv. oryzae PXO1	Ion Torrent PGM	1188582	158501363	SRR8662591	1188582	203423268
SRP187390	SRX5459276	WGS of Xanthomonas oryzae pv. oryzae PXO20: bacterial isolate	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	RANDOM	SRS4433173	Xanthomonas oryzae pv. oryzae PXO20	Ion Torrent PGM	1355230	181331073	SRR8662592	1355230	233336443
SRP187390	SRX5459275	WGS of Xanthomonas oryzae pv. oryzae PXO25: bacterial isolate	64187	Xanthomonas oryzae pv. oryzae	WGS	GENOMIC	RANDOM	SRS4433172	Xanthomonas oryzae pv. oryzae PXO25	Ion Torrent PGM	1891265	252663278	SRR8662593	1891265	325585762
